"Word","Changed","score_test"
"pessimistically","aceiiillmpsssty",484
"unconventionally","aceillnnnnootuvy",484
"uncomplimentary","aceilmmnnoprtuy",484
"anthropomorphic","achhimnooopprrt",484
"synchronizations","achiinnnoorsstyz",484
"experimentally","aeeeillmnprtxy",484
"hyperventilating","aeeghiilnnprttvy",484
"overemphasizing","aeeghiimnoprsvz",484
"hyperventilation","aeehiilnnoprttvy",484
"whippersnappers","aeehinpppprrssw",484
"physiotherapists","aehhiiopprssstty",484
"multimillionaire","aeiiiilllmmnortu",484
"ophthalmologist","aghhillmooopstt",484
"photojournalism","ahijlmnoooprstu",484
"photojournalists","ahijlnoooprssttu",484
"Knickerbocker","bcceeikkknorr",484
"incomprehensible","bceeehiilmnnoprs",484
"circumscriptions","ccciiimnoprrsstu",484
"phosphorescence","cceeehhnoopprss",484
"hypoglycemics","cceghilmopsyy",484
"collectivizing","ccegiiillnotvz",484
"schizophrenics","ccehhiinoprssz",484
"disrespectfully","cdeefillprsstuy",484
"overwhelmingly","eeghillmnorvwy",484
"hypersensitivity","eehiiinprssttvyy",484
"oversimplifying","efgiiilmnoprsvy",484
"Rumpelstiltskin","eiikllmnprssttu",484
"philosophizing","ghhiiilnooppsz",484
"Yoknapatawpha","aaaahknopptwy",441
"autobiographical","aaabcghiilooprtu",441
"pharmaceutical","aaaccehilmprtu",441
"paradoxically","aaacdilloprxy",441
"Americanizations","aaaceiiimnnorstz",441
"antagonistically","aaacgiillnnostty",441
"axiomatically","aaaciillmotxy",441
"paraprofessional","aaaefilnoopprrss",441
"familiarization","aaafiiiilmnortz",441
"bibliographical","aabbcghiiillopr",441
"blackjacked","aabccdejkkl",441
"unacceptability","aabcceiilnpttuy",441
"Nebuchadnezzar","aabcdeehnnruzz",441
"Zubeneschamali","aabceehilmnsuz",441
"syllabification","aabcfiiillnosty",441
"uncharacteristic","aacccehiinrrsttu",441
"crackerjack","aacccejkkrr",441
"democratically","aaccdeillmorty",441
"counterattacking","aaccegiknnortttu",441
"schematically","aaccehillmsty",441
"extracurricular","aacceilrrrrtuux",441
"circumnavigating","aaccggiiimnnrtuv",441
"circumnavigation","aaccgiiimnnortuv",441
"impracticality","aacciiilmprtty",441
"miscalculations","aacciillmnosstu",441
"decentralization","aacdeeiilnnorttz",441
"transcendentally","aacdeellnnnrstty",441
"disqualification","aacdfiiiilnoqst",441
"hydraulically","aacdhilllruyy",441
"cardiopulmonary","aacdilmnooprruy",441
"cinematographers","aaceeghimnoprrst",441
"appreciatively","aaceeiilpprtvy",441
"geographically","aacegghillopry",441
"straightjacket","aaceghijkrsttt",441
"straitjacketing","aacegiijknrsttt",441
"apologetically","aacegillloopty",441
"arithmetically","aacehiillmrtty",441
"Australopithecus","aacehiloprssttuu",441
"specializations","aaceiiilnopsstz",441
"unrealistically","aaceiilllnrstuy",441
"systematically","aaceillmssttyy",441
"compassionately","aaceilmnoopssty",441
"anthropological","aacghillnoooprt",441
"pharmacologists","aacghilmooprsst",441
"particularizing","aacgiiilnprrtuz",441
"psychoanalysis","aachilnopsssyy",441
"psychoanalysts","aachlnopssstyy",441
"departmentalize","aadeeeilmnprttz",441
"demilitarization","aadeiiiilmnorttz",441
"administratively","aadeiiilmnrsttvy",441
"Hammarskjold","aadhjklmmors",441
"inappropriately","aaeiilnoppprrty",441
"approximately","aaeilmopprtxy",441
"misappropriating","aagiiimnoppprrst",441
"hospitalization","aahiiilnoopsttz",441
"misappropriation","aaiiimnooppprrst",441
"imperturbability","abbeiiilmprrttuy",441
"unpredictability","abcdeiiilnprttuy",441
"unexceptionable","abceeeilnnoptux",441
"incompatibility","abciiiilmnoptty",441
"unimplementable","abeeeillmmnnptu",441
"inextinguishable","abeeghiiilnnstux",441
"implausibilities","abeiiiiillmpsstu",441
"polysyllables","abellllopssyy",441
"concentrically","accceillnnorty",441
"staphylococci","accchiloopsty",441
"electrodynamics","accdeeilmnorsty",441
"conceptualized","accdeeilnoptuz",441
"excommunicated","accdeeimmnotux",441
"hypochondriacs","accdhhinooprsy",441
"petrochemicals","acceehilmoprst",441
"commercialize","acceeiilmmorz",441
"electronically","acceeilllnorty",441
"conceptualizes","acceeilnopstuz",441
"excommunicates","acceeimmnostux",441
"scientifically","accefiiillnsty",441
"hallucinogenics","acceghiillnnosu",441
"excruciatingly","accegiilnrtuxy",441
"uncommunicative","acceiimmnnotuuv",441
"psychological","accghilloopsy",441
"prophylactics","acchilopprsty",441
"knickknack","accikkkknn",441
"handkerchieves","acdeeehhiknrsv",441
"disfranchisement","acdeefhiimnnrsst",441
"acknowledgment","acdeegklmnnotw",441
"decriminalizing","acdegiiiilmnnrz",441
"indiscriminately","acdeiiiilmnnrsty",441
"electromagnetism","aceeegilmmnorstt",441
"overspecialize","aceeeiiloprsvz",441
"counterexample","aceeelmnoprtux",441
"hypoallergenic","aceeghillnopry",441
"lexicographers","aceeghiloprrsx",441
"overcompensating","aceegimnnooprstv",441
"apprenticeships","aceehiinppprsst",441
"servomechanisms","aceehimmnorsssv",441
"intellectualism","aceeiilllmnsttu",441
"intellectually","aceeillllnttuy",441
"exceptionally","aceeillnoptxy",441
"overcompensation","aceeimnnoooprstv",441
"reproachfully","acefhlloprruy",441
"chrysanthemums","acehhmmnrsstuy",441
"psychotherapy","acehhopprstyy",441
"prophetically","acehillopprty",441
"multiplicative","aceiiillmpttuv",441
"computerization","aceiimnooprttuz",441
"Jacksonville","aceijkllnosv",441
"symmetrically","aceillmmrstyy",441
"controversially","aceillnoorrstvy",441
"Schwarzkopf","acfhkoprswz",441
"simplifications","acfiiiilmnopsst",441
"philosophical","achhiilloopps",441
"rhythmically","achhillmrtyy",441
"synchronization","achiinnnoorstyz",441
"multiplications","aciiillmnopsttu",441
"optimistically","aciiillmopstty",441
"colloquialisms","aciilllmooqss",441
"constitutionally","aciillnnoostttuy",441
"quizzically","aciillqyzz",441
"noncommittally","acillmmnnootty",441
"wholeheartedly","adeeehhllortwy",441
"hyperventilated","adeeehilnprttvy",441
"overemphasized","adeeehimoprsvz",441
"multidimensional","adeiiillmmnnostu",441
"apprehensiveness","aeeeehinnpprsssv",441
"apprehensively","aeeehilnpprsvy",441
"hyperventilates","aeeehilnprsttvy",441
"heterosexuality","aeeehilorsttuxy",441
"overemphasizes","aeeehimoprssvz",441
"semiprofessional","aeefiilmnooprsss",441
"sentimentalizing","aeegiiilmnnnsttz",441
"misapprehensions","aeehiimnnopprsss",441
"whippersnapper","aeehinpppprrsw",441
"environmentalism","aeeiilmmnnnorstv",441
"environmentally","aeeillmnnnortvy",441
"infinitesimally","aefiiiillmnnsty",441
"physiotherapist","aehhiiopprsstty",441
"polymerization","aeiilmnooprtyz",441
"unsportsmanlike","aeiklmnnoprsstu",441
"ophthalmology","aghhllmooopty",441
"philanthropists","ahhiilnopprsstt",441
"photojournalist","ahijlnoooprsttu",441
"incontrovertibly","bceiilnnoorrttvy",441
"incorruptibility","bciiiilnoprrttuy",441
"circumscription","ccciiimnoprrstu",441
"circumlocutions","ccciilmnoorstuu",441
"collectivized","ccdeeiillotvz",441
"schoolchildren","ccdehhillnoors",441
"teleconferencing","cceeeefgilnnnort",441
"cockleshells","cceehkllloss",441
"collectivizes","cceeiillostvz",441
"unsuccessfully","ccefllnsssuuuy",441
"shuttlecocking","cceghiklnosttu",441
"hypoglycemic","cceghilmopyy",441
"schizophrenic","ccehhiinoprsz",441
"inconclusively","cceiillnnosuvy",441
"inconspicuously","cciilnnoopssuuy",441
"retrospectively","ceeeiloprrsttvy",441
"schoolmistresses","ceehilmoorssssst",441
"philosophized","dehhiilooppsz",441
"Mephistopheles","eeehhilmoppsst",441
"phototypesetting","eeghinooppstttty",441
"mellifluously","efillllmosuuy",441
"philosophizes","ehhiilooppssz",441
"whippoorwills","hiilloopprsww",441
"lackadaisical","aaaaccdiiklls",400
"parliamentarians","aaaaeiilmnnprrst",400
"Visakhapatnam","aaaahikmnpstv",400
"unapproachable","aaabcehlnoppru",400
"archaeological","aaacceghilloor",400
"autocratically","aaaccillorttuy",400
"Camelopardalis","aaacdeillmoprs",400
"Machiavellian","aaacehiillmnv",400
"apathetically","aaacehillptty",400
"pharmacopoeias","aaacehimoopprs",400
"Americanization","aaaceiiimnnortz",400
"grammatically","aaacgillmmrty",400
"pragmatically","aaacgillmprty",400
"capitalization","aaaciiilnopttz",400
"Muhammadanisms","aaadhimmmmnssu",400
"parallelograms","aaaeglllmoprrs",400
"materialization","aaaeiiilmnorttz",400
"nationalizations","aaaiiilnnnoosttz",400
"rationalizations","aaaiiilnnoorsttz",400
"Kazantzakis","aaaikknstzz",400
"bacteriological","aabccegiilloort",400
"counterbalancing","aabccegilnnnortu",400
"pickabacking","aabccgiikknp",400
"practicability","aabcciiilprtty",400
"impracticably","aabcciilmprty",400
"blackjacks","aabccjkkls",400
"backpedalling","aabcdegikllnp",400
"interchangeably","aabceeghilnnrty",400
"implacability","aabciiillmpty",400
"applicability","aabciiillppty",400
"maneuverability","aabeeiilmnrtuvy",400
"breathtakingly","aabeghiklnrtty",400
"liberalizations","aabeiiillnorstz",400
"ecclesiastical","aaccceeiillsst",400
"characteristics","aacccehiirrsstt",400
"encyclopaedias","aaccdeeilnopsy",400
"counterattacked","aaccdeeknortttu",400
"circumnavigated","aaccdegiimnrtuv",400
"characterizing","aacceghiinrrtz",400
"circumnavigates","aaccegiimnrstuv",400
"mechanically","aaccehillmny",400
"accompaniments","aacceimmnnopst",400
"spectacularly","aaccellprstuy",400
"classifications","aaccfiiilnossst",400
"acclimatizing","aaccgiiilmntz",400
"miscalculating","aaccgiillmnstu",400
"miscalculation","aacciillmnostu",400
"syntactically","aaccillnsttyy",400
"straitjacketed","aacdeeijkrsttt",400
"idealistically","aacdeiiilllsty",400
"particularized","aacdeiilprrtuz",400
"democratization","aacdeiimnoorttz",400
"adjectivally","aacdeijlltvy",400
"quadruplicating","aacdgiilnpqrtu",400
"spasmodically","aacdillmopssy",400
"affectionately","aaceeffilnotty",400
"cinematographer","aaceeghimnoprrt",400
"cantankerousness","aaceeknnnorssstu",400
"lethargically","aaceghilllrty",400
"cinematography","aaceghimnoprty",400
"allegorically","aacegillllory",400
"antithetically","aacehiillnttty",400
"emphatically","aacehillmpty",400
"jackhammers","aacehjkmmrs",400
"specialization","aaceiiilnopstz",400
"antiseptically","aaceiillnpstty",400
"particularizes","aaceiilprrstuz",400
"majestically","aaceijllmsty",400
"kleptomaniacs","aaceiklmnopst",400
"pneumatically","aaceillmnptuy",400
"comparatively","aaceilmoprtvy",400
"cantankerously","aaceklnnorstuy",400
"amplifications","aacfiiilmnopst",400
"pharmacologist","aacghilmooprst",400
"Walpurgisnacht","aacghilnprstuw",400
"typographical","aacghilopprty",400
"agriculturalists","aacgiillrrssttuu",400
"nymphomaniacs","aachimmnnopsy",400
"psychoanalyst","aachlnopsstyy",400
"misapplication","aaciiilmnoppst",400
"altruistically","aaciilllrsttuy",400
"ultrasonically","aacilllnorstuy",400
"astronomically","aacillmnoorsty",400
"complaisantly","aacillmnopsty",400
"halfheartedness","aadeeefhhlnrsst",400
"halfheartedly","aadeefhhllrty",400
"Mohammedanisms","aadehimmmmnoss",400
"extraordinarily","aadeiilnorrrtxy",400
"misappropriated","aadeiimoppprrst",400
"extraterrestrial","aaeeeilrrrrstttx",400
"internationalize","aaeeiiilnnnorttz",400
"newspaperwoman","aaeemnnopprsww",400
"affirmatively","aaeffiilmrtvy",400
"authoritatively","aaehiilortttuvy",400
"misappropriates","aaeiimoppprrsst",400
"popularization","aaiilnoopprtuz",400
"approximations","aaiimnoopprstx",400
"discombobulating","abbcdgiilmnoostu",400
"unobjectionable","abbceeijlnnootu",400
"inaccessibility","abcceiiiilnssty",400
"impeccability","abcceiiilmpty",400
"sticklebacks","abcceikklsst",400
"archbishoprics","abcchhiioprrss",400
"claustrophobic","abcchilooprstu",400
"Liebfraumilch","abcefhiillmru",400
"swashbucklers","abcehklrsssuw",400
"inexplicably","abceiillnpxy",400
"swashbuckling","abcghiklnssuw",400
"symbolically","abcilllmosyy",400
"polysyllabic","abcilllopsyy",400
"uncontrollably","abclllnnoortuy",400
"knowledgeably","abdeegkllnowy",400
"ambidextrously","abdeilmorstuxy",400
"impenetrability","abeeiiilmnprtty",400
"blasphemously","abehllmopssuy",400
"invulnerability","abeiiillnnrtuvy",400
"polysyllable","abellllopsyy",400
"implausibility","abiiiillmpstuy",400
"immobilization","abiiiilmmnootz",400
"convalescences","accceeelnnossv",400
"eclectically","accceeilllty",400
"eccentrically","accceeillnrty",400
"kaleidoscopic","accdeiikloops",400
"coincidentally","accdeiillnnoty",400
"hypochondriac","accdhhinoopry",400
"electromagnetic","acceeegilmnortt",400
"electrification","acceefiiilnortt",400
"schoolteachers","acceehhloorsst",400
"petrochemical","acceehilmoprt",400
"conceptualize","acceeilnoptuz",400
"excommunicate","acceeimmnotux",400
"efficaciously","acceffiilosuy",400
"specifically","accefiillpsy",400
"hallucinogenic","acceghiillnnou",400
"counterclaiming","accegiilmnnortu",400
"interscholastic","accehiilnorsstt",400
"hypercritical","accehiilprrty",400
"anthropocentric","accehinnooprrtt",400
"anticlockwise","acceiiklnostw",400
"commercialism","acceiilmmmors",400
"commercially","acceillmmory",400
"noncommercials","acceilmmnnoors",400
"complacently","accellmnopty",400
"accomplishing","accghiilmnops",400
"psychopathic","acchhioppsty",400
"psychically","acchillpsyy",400
"prophylactic","acchilopprty",400
"psychosomatic","acchimoopssty",400
"unacknowledged","acddeegklnnouw",400
"decriminalized","acddeeiiilmnrz",400
"overcompensated","acdeeemnooprstv",400
"handkerchiefs","acdeefhhiknrs",400
"knuckleheads","acdeehkklnsu",400
"decriminalizes","acdeeiiilmnrsz",400
"disenfranchising","acdefghiiinnnrss",400
"indemnifications","acdefiiiimnnnost",400
"confidentiality","acdefiiilnnotty",400
"confidentially","acdefiillnnoty",400
"methodological","acdeghillmooot",400
"hermaphroditic","acdehhiimoprrt",400
"thermodynamics","acdehimmnorsty",400
"unconditionally","acdiillnnnootuy",400
"enfranchisement","aceeefhimnnnrst",400
"Schwarzenegger","aceeegghnrrswz",400
"steeplejacks","aceeejklpsst",400
"overcompensates","aceeemnooprsstv",400
"ineffectually","aceeffillntuy",400
"lexicographer","aceeghiloprrx",400
"hemispherical","aceehhiilmprs",400
"overenthusiastic","aceehiinorssttuv",400
"apprenticeship","aceehiinppprst",400
"servomechanism","aceehimmnorssv",400
"rapprochements","aceehmnopprrst",400
"contemplatives","aceeilmnopsttv",400
"conservatively","aceeilnorstvvy",400
"complementary","aceelmmnoprty",400
"superficiality","acefiiilprstuy",400
"personifications","acefiiinnooprsst",400
"superficially","acefiillprsuy",400
"Wollstonecraft","acefllnoorsttw",400
"hypoglycemia","aceghilmopyy",400
"lexicography","aceghiloprxy",400
"cryptographers","aceghopprrrsty",400
"schizophrenia","acehhiinoprsz",400
"chrysanthemum","acehhmmnrstuy",400
"hyperactivity","acehiiprttvyy",400
"synthetically","acehillnsttyy",400
"thermoplastics","acehilmoprsstt",400
"commonwealths","acehlmmnoostw",400
"elliptically","aceiillllpty",400
"extrinsically","aceiillnrstxy",400
"conventionality","aceiilnnnoottvy",400
"conventionally","aceillnnnootvy",400
"unequivocally","aceillnoquvy",400
"complimentary","aceilmmnoprty",400
"provocatively","aceilooprtvvy",400
"insignificantly","acfgiiiilnnnsty",400
"fictionalizing","acfgiiiilnnotz",400
"jackknifing","acfgiijkknn",400
"simplification","acfiiiilmnopst",400
"prolifically","acfiilllopry",400
"laughingstocks","acgghiklnosstu",400
"physiological","acghiilloopsy",400
"morphological","acghillmooopr",400
"crystallizing","acgiillnrstyz",400
"topologically","acgilllooopty",400
"philharmonics","achhiilmnoprs",400
"philanthropic","achhiilnopprt",400
"championships","achhiimnoppss",400
"Shostakovitch","achhikoossttv",400
"astrophysicists","achiioprsssstty",400
"Tchaikovsky","achikkostvy",400
"hypnotically","achillnoptyy",400
"asynchronously","achlnnoorssuyy",400
"multiplication","aciiillmnopttu",400
"mispronunciation","aciiimnnnooprstu",400
"Kirkpatrick","aciikkkprrt",400
"colloquialism","aciilllmooqs",400
"stylistically","aciilllssttyy",400
"sanctimoniously","aciilmnnoosstuy",400
"colloquially","acillllooqy",400
"levelheadedness","addeeeeehllnssv",400
"individualizing","addgiiiiilnnuvz",400
"dillydallying","addgiillllnyy",400
"sledgehammering","adeeegghilmmnrs",400
"lightheartedness","adeeeghhilnrsstt",400
"sentimentalized","adeeeiilmnnsttz",400
"lightheartedly","adeeghhillrtty",400
"misapprehending","adeeghiimnnpprs",400
"demonstratively","adeeilmnorsttvy",400
"providentially","adeiillnoprtvy",400
"disappointingly","adgiiilnnoppsty",400
"disapprovingly","adgiilnopprsvy",400
"preferentially","aeeefillnprrty",400
"hyperventilate","aeeehilnprttvy",400
"overemphasize","aeeehimoprsvz",400
"sentimentalizes","aeeeiilmnnssttz",400
"experimentation","aeeeiimnnoprttx",400
"newspaperwomen","aeeemnnopprsww",400
"weatherproofing","aeefghinooprrtw",400
"illegitimately","aeegiiilllmtty",400
"misapprehension","aeehiimnnopprss",400
"praiseworthiness","aeehiinoprrssstw",400
"implementations","aeeiilmmnnopstt",400
"environmentalist","aeeiilmnnnorsttv",400
"plenipotentiary","aeeiilnnopprtty",400
"exponentially","aeeillnnoptxy",400
"professionalism","aefiilmnooprsss",400
"multifariousness","aefiilmnorssstuu",400
"nonproliferation","aefiilnnnoooprrt",400
"professionally","aefillnooprssy",400
"nonprofessionals","aefilnnnoooprsss",400
"philanthropies","aehhiilnopprst",400
"physiotherapy","aehhiopprstyy",400
"homosexuality","aehilmoostuxy",400
"hippopotamuses","aehimoopppsstu",400
"institutionalize","aeiiiilnnostttuz",400
"tranquillizers","aeiillnqrrstz",400
"proportionately","aeilnooopprrtty",400
"flimflamming","affgiillmmmn",400
"tranquillizing","agiiillnnqrtz",400
"philanthropist","ahhiilnopprstt",400
"juxtapositions","aiijnoopssttux",400
"monopolization","aiilmnnooooptz",400
"proportionality","aiilnooopprrtty",400
"proportionally","aillnooopprrty",400
"comprehensible","bceeehilmnoprs",400
"imperceptibly","bceeiilmpprty",400
"incontrovertible","bceeiilnnoorrttv",400
"embezzlement","beeeelmmntzz",400
"embellishments","beeehillmmnsst",400
"inflexibility","befiiiillntxy",400
"intelligibility","begiiiiilllntty",400
"irresponsibility","beiiiilnoprrssty",400
"circumferences","ccceeefimnrrsu",400
"crosschecking","ccceghiknorss",400
"microeconomics","ccceiimmnooors",400
"circumspection","ccceiimnoprstu",400
"circumlocution","ccciilmnoortuu",400
"condescendingly","ccddeegilnnnosy",400
"teleconferenced","ccdeeeeeflnnort",400
"shuttlecocked","ccdeehklosttu",400
"teleconferences","cceeeeeflnnorst",400
"neckerchieves","cceeeehiknrsv",400
"circumflexes","cceefilmrsux",400
"cockleshell","cceehklllos",400
"collectivize","cceeiillotvz",400
"collectively","cceeilllotvy",400
"conscientiously","cceiilnnoosstuy",400
"pickpockets","cceikkoppst",400
"constructively","cceilnorsttuvy",400
"microcomputers","cceimmooprrstu",400
"microprocessors","cceimoooprrrsss",400
"unconvincingly","ccgiilnnnnouvy",400
"conjunctivitis","cciiijnnosttuv",400
"misconstructions","cciimnnoorsssttu",400
"mollycoddling","cddgilllmnooy",400
"Melchizedek","cdeeehiklmz",400
"uncomprehending","cdeeghimnnnopru",400
"depoliticizing","cdegiiiilnoptz",400
"correspondingly","cdegilnnooprrsy",400
"policyholders","cdehillooprsy",400
"ineffectiveness","ceeeeffiinnsstv",400
"ineffectively","ceeeffiilntvy",400
"comprehensives","ceeehimnoprssv",400
"competitiveness","ceeeiimnopssttv",400
"glockenspiels","ceegikllnopss",400
"phosphorescent","ceehhnoopprsst",400
"mischievousness","ceehiimnossssuv",400
"tonsillectomies","ceeiillmnoosstt",400
"competitively","ceeiilmopttvy",400
"pocketknives","ceeikknopstv",400
"pumpernickel","ceeiklmnppru",400
"unceremoniously","ceeilmnnoorsuuy",400
"compulsiveness","ceeilmnopsssuv",400
"insufficiently","ceffiiilnnstuy",400
"hieroglyphics","ceghhiiloprsy",400
"multiprocessing","cegiilmnoprsstu",400
"compellingly","cegilllmnopy",400
"psychokinesis","cehiiknopsssy",400
"mischievously","cehiilmossuvy",400
"multiplicities","ceiiiillmpsttu",400
"compulsively","ceillmopsuvy",400
"contemptuously","celmnoopsttuuy",400
"unscrupulousness","celnnoprssssuuuu",400
"unflinchingly","cfghiillnnnuy",400
"chlorophyll","chhllloopry",400
"unscrupulously","cllnoprssuuuuy",400
"oversimplified","deefiiilmoprsv",400
"Dnepropetrovsk","deeknoopprrstv",400
"Dzerzhinsky","dehiknrsyzz",400
"teletypewriters","eeeeilprrstttwy",400
"phototypesetter","eeehoopprstttty",400
"inexpensively","eeeiilnnpsvxy",400
"exemplifying","eefgiilmnpxy",400
"oversimplifies","eefiiilmoprssv",400
"extemporizing","eegiimnoprtxz",400
"impoverishment","eehiimmnoprstv",400
"presumptuousness","eemnopprsssstuuu",400
"hypothesizing","eghhiinopstyz",400
"revolutionizing","egiiilnnoortuvz",400
"Kremlinologist","egiikllmnoorst",400
"philosophize","ehhiilooppsz",400
"Novokuznetsk","ekknnoostuvz",400
"presumptuously","elmopprsstuuuy",400
"whippoorwill","hiilloopprww",400
"Apalachicola","aaaacchillop",361
"extravaganzas","aaaaegnrstvxz",361
"parliamentarian","aaaaeiilmnnprrt",361
"phantasmagorias","aaaaghimnoprsst",361
"algebraically","aaabcegilllry",361
"ambassadorships","aaabdhimoprssss",361
"maintainability","aaabiiiilmnntty",361
"academically","aaaccdeillmy",361
"cardiovascular","aaaccdilorrsuv",361
"anarchically","aaacchillnry",361
"sarcastically","aaaccillrssty",361
"Chandrasekhar","aaacdehhknrrs",361
"mathematicians","aaacehiimmnstt",361
"pharmacopoeia","aaacehimooppr",361
"pharmacopeias","aaacehimopprs",361
"fantastically","aaacfillnstty",361
"analytically","aaacilllntyy",361
"automatically","aaacillmottuy",361
"haphazardly","aaadhhlpryz",361
"Muhammadanism","aaadhimmmmnsu",361
"parallelogram","aaaeglllmoprr",361
"extravagantly","aaaeglnrttvxy",361
"humanitarianism","aaahiiimmnnrstu",361
"authoritarianism","aaahiiimnorrsttu",361
"nationalization","aaaiiilnnnoottz",361
"rationalization","aaaiiilnnoorttz",361
"blackballing","aabbcgikllln",361
"counterbalanced","aabccdeelnnortu",361
"pickabacked","aabccdeikkp",361
"counterbalances","aabcceelnnorstu",361
"impracticable","aabcceiilmprt",361
"acceptability","aabcceiilptty",361
"backpackers","aabccekkprs",361
"backpacking","aabccgikknp",361
"backtracking","aabccgikknrt",361
"accountability","aabcciilnottuy",361
"incalculably","aabccilllnuy",361
"blackjack","aabccjkkl",361
"backpedalled","aabcddeekllp",361
"interchangeable","aabceeeghilnnrt",361
"unimpeachable","aabceehilmnpu",361
"irreproachable","aabceehiloprrr",361
"quarterbacking","aabcegiknqrrt",361
"blackmailers","aabceikllmrs",361
"problematical","aabceillmoprt",361
"backslappers","aabceklpprss",361
"blackmailing","aabcgiikllmn",361
"claustrophobia","aabchilooprstu",361
"comparability","aabciilmoprty",361
"alphabetizing","aabeghiilnptz",361
"liberalization","aabeiiillnortz",361
"marketability","aabeiiklmrtty",361
"Brazzaville","aabeillrvzz",361
"assemblywoman","aabelmmnosswy",361
"flammability","aabfiillmmty",361
