"","Word","Changed"
"77","Adventist","ADEINSTTV"
"78","Advents","ADENSTV"
"79","Advil","ADILV"
"80","Aegean","AAEEGN"
"81","Aelfric","ACEFILR"
"82","Aeneas","AAEENS"
"83","Aeneid","ADEEIN"
"84","Aeolus","AELOSU"
"85","Aeroflot","AEFLOORT"
"86","Aeschylus","ACEHLSSUY"
"87","Aesculapius","AACEILPSSUU"
"88","Aesop","AEOPS"
"89","Afghan","AAFGHN"
"90","Afghanistan","AAAFGHINNST"
"91","Afghans","AAFGHNS"
"92","Africa","AACFIR"
"93","African","AACFINR"
"94","Africans","AACFINRS"
"95","Afrikaans","AAAFIKNRS"
"96","Afrikaner","AAEFIKNRR"
"97","Afrikaners","AAEFIKNRRS"
"98","Afro","AFOR"
"99","Afrocentrism","ACEFIMNORRST"
"100","Afros","AFORS"
"101","Agamemnon","AAEGMMNNO"
"102","Agassi","AAGISS"
"103","Agassiz","AAGISSZ"
"104","Agatha","AAAGHT"
"105","Aggie","AEGGI"
"106","Aglaia","AAAGIL"
"107","Agnes","AEGNS"
"108","Agnew","AEGNW"
"109","Agni","AGIN"
"110","Agra","AAGR"
"111","Agricola","AACGILOR"
"112","Agrippa","AAGIPPR"
"113","Agrippina","AAGIINPPR"
"114","Aguilar","AAGILRU"
"115","Aguinaldo","AADGILNOU"
"116","Aguirre","AEGIRRU"
"117","Agustin","AGINSTU"
"118","Ahab","AABH"
"119","Ahmad","AADHM"
"120","Ahmadabad","AAAABDDHM"
"121","Ahmadinejad","AAADDEHIJMN"
"122","Ahmed","ADEHM"
"123","Ahriman","AAHIMNR"
"124","Aida","AADI"
"125","Aiken","AEIKN"
"126","Aileen","AEEILN"
"127","Aimee","AEEIM"
"128","Ainu","AINU"
"129","Airedale","AADEEILR"
"130","Airedales","AADEEILRS"
"131","Aisha","AAHIS"
"132","Ajax","AAJX"
"133","Akbar","AABKR"
"134","Akhmatova","AAAHKMOTV"
"135","Akihito","AHIIKOT"
"136","Akita","AAIKT"
"137","Akiva","AAIKV"
"138","Akkad","AADKK"
"139","Akron","AKNOR"
"140","Ala","AAL"
"141","Alabama","AAAABLM"
"142","Alabaman","AAAABLMN"
"143","Alabamans","AAAABLMNS"
"144","Alabamian","AAAABILMN"
"145","Alabamians","AAAABILMNS"
"146","Aladdin","AADDILN"
"147","Alamo","AALMO"
"148","Alamogordo","AADGLMOOOR"
"149","Alan","AALN"
"150","Alana","AAALN"
"151","Alar","AALR"
"152","Alaric","AACILR"
"153","Alaska","AAAKLS"
"154","Alaskan","AAAKLNS"
"155","Alaskans","AAAKLNSS"
"156","Alba","AABL"
"157","Albania","AAABILN"
"158","Albanian","AAABILNN"
"159","Albanians","AAABILNNS"
"160","Albany","AABLNY"
"161","Albee","ABEEL"
"162","Alberio","ABEILOR"
"163","Albert","ABELRT"
"164","Alberta","AABELRT"
"165","Alberto","ABELORT"
"166","Albigensian","AABEGIILNNS"
"167","Albion","ABILNO"
"168","Albireo","ABEILOR"
"169","Albuquerque","ABEELQQRUUU"
"170","Alcatraz","AAACLRTZ"
"171","Alcestis","ACEILSST"
"172","Alcibiades","AABCDEIILS"
"173","Alcindor","ACDILNOR"
"174","Alcmena","AACELMN"
"175","Alcoa","AACLO"
"176","Alcott","ACLOTT"
"177","Alcuin","ACILNU"
"178","Alcyone","ACELNOY"
"179","Aldan","AADLN"
"180","Aldebaran","AAABDELNR"
"181","Alden","ADELN"
"182","Alderamin","AADEILMNR"
"183","Aldo","ADLO"
"184","Aldrin","ADILNR"
"185","Alec","ACEL"
"186","Aleichem","ACEEHILM"
"187","Alejandra","AAADEJLNR"
"188","Alejandro","AADEJLNOR"
"189","Alembert","ABEELMRT"
"190","Aleppo","AELOPP"
"191","Aleut","AELTU"
"192","Aleutian","AAEILNTU"
"193","Alex","AELX"
"194","Alexander","AADEELNRX"
"195","Alexandra","AAADELNRX"
"196","Alexandria","AAADEILNRX"
"197","Alexei","AEEILX"
"198","Alexis","AEILSX"
"199","Alfonso","AFLNOOS"
"200","Alfonzo","AFLNOOZ"
"201","Alford","ADFLOR"
"202","Alfred","ADEFLR"
"203","Alfreda","AADEFLR"
"204","Alfredo","ADEFLOR"
"205","Algenib","ABEGILN"
"206","Alger","AEGLR"
"207","Algeria","AAEGILR"
"208","Algerian","AAEGILNR"
"209","Algerians","AAEGILNRS"
"210","Algieba","AABEGIL"
"211","Algiers","AEGILRS"
"212","Algol","AGLLO"
"213","Algonquian","AAGILNNOQU"
"214","Algonquians","AAGILNNOQSU"
"215","Algonquin","AGILNNOQU"
"216","Alhambra","AAABHLMR"
"217","Alhena","AAEHLN"
"218","Ali","AIL"
"219","Alice","ACEIL"
"220","Alicia","AACIIL"
"221","Alighieri","AEGHIIILR"
"222","Aline","AEILN"
"223","Alioth","AHILOT"
"224","Alisa","AAILS"
"225","Alisha","AAHILS"
"226","Alison","AILNOS"
"227","Alissa","AAILSS"
"228","Alistair","AAIILRST"
"229","Alkaid","AADIKL"
"230","Allah","AAHLL"
"231","Allahabad","AAAABDHLL"
"232","Allan","AALLN"
"233","Alleghenies","AEEEGHILLNS"
"234","Allegheny","AEEGHLLNY"
"235","Allegra","AAEGLLR"
"236","Allen","AELLN"
"237","Allende","ADEELLN"
"238","Allentown","AELLNNOTW"
"239","Allie","AEILL"
"240","Allison","AILLNOS"
"241","Allstate","AAELLSTT"
"242","Allyson","ALLNOSY"
"243","Alma","AALM"
"244","Almach","AACHLM"
"245","Almaty","AALMTY"
"246","Almighty","AGHILMTY"
"247","Almohad","AADHLMO"
"248","Almoravid","AADILMORV"
"249","Alnilam","AAILLMN"
"250","Alnitak","AAIKLNT"
"251","Alonzo","ALNOOZ"
"252","Alpert","AELPRT"
"253","Alphard","AADHLPR"
"254","Alphecca","AACCEHLP"
"255","Alpheratz","AAEHLPRTZ"
"256","Alphonse","AEHLNOPS"
"257","Alphonso","AHLNOOPS"
"258","Alpine","AEILNP"
"259","Alpo","ALOP"
"260","Alps","ALPS"
"261","Alsace","AACELS"
"262","Alsatian","AAAILNST"
"263","Alsop","ALOPS"
"264","Alston","ALNOST"
"265","Alta","AALT"
"266","Altai","AAILT"
"267","Altaic","AACILT"
"268","Altair","AAILRT"
"269","Altamira","AAAILMRT"
"270","Althea","AAEHLT"
"271","Altiplano","AAILLNOPT"
"272","Altman","AALMNT"
"273","Altoids","ADILOST"
"274","Alton","ALNOT"
"275","Aludra","AADLRU"
"276","Alva","AALV"
"277","Alvarado","AAADLORV"
"278","Alvarez","AAELRVZ"
"279","Alvaro","AALORV"
"280","Alvin","AILNV"
"281","Alyce","ACELY"
"282","Alyson","ALNOSY"
"283","Alyssa","AALSSY"
"284","Alzheimer","AEEHILMRZ"
"285","Amadeus","AADEMSU"
"286","Amado","AADMO"
"287","Amalia","AAAILM"
"288","Amanda","AAADMN"
"289","Amarillo","AAILLMOR"
"290","Amaru","AAMRU"
"291","Amaterasu","AAAEMRSTU"
"292","Amati","AAIMT"
"293","Amazon","AAMNOZ"
"294","Amazons","AAMNOSZ"
"295","Amber","ABEMR"
"296","Amelia","AAEILM"
"297","Amenhotep","AEEHMNOPT"
"298","Amerasian","AAAEIMNRS"
"299","America","AACEIMR"
"300","American","AACEIMNR"
"301","Americana","AAACEIMNR"
"302","Americanism","AACEIIMMNRS"
"303","Americanisms","AACEIIMMNRSS"
"304","Americanization","AAACEIIIMNNORTZ"
"305","Americanizations","AAACEIIIMNNORSTZ"
"306","Americanize","AACEEIIMNRZ"
"307","Americanized","AACDEEIIMNRZ"
"308","Americanizes","AACEEIIMNRSZ"
"309","Americanizing","AACEGIIIMNNRZ"
"310","Americans","AACEIMNRS"
"311","Americas","AACEIMRS"
"312","Amerind","ADEIMNR"
"313","Amerindian","AADEIIMNNR"
"314","Amerindians","AADEIIMNNRS"
"315","Amerinds","ADEIMNRS"
"316","Ameslan","AAELMNS"
"317","Amharic","AACHIMR"
"318","Amherst","AEHMRST"
"319","Amie","AEIM"
"320","Amiga","AAGIM"
"321","Amish","AHIMS"
"322","Amman","AAMMN"
"323","Amoco","ACMOO"
"324","Amos","AMOS"
"325","Amparo","AAMOPR"
"326","Ampere","AEEMPR"
"327","Amritsar","AAIMRRST"
"328","Amsterdam","AADEMMRST"
"329","Amtrak","AAKMRT"
"330","Amundsen","ADEMNNSU"
"331","Amur","AMRU"
"332","Amway","AAMWY"
"333","Amy","AMY"
"334","Ana","AAN"
"335","Anabaptist","AAABINPSTT"
"336","Anabel","AABELN"
"337","Anacin","AACINN"
"338","Anacreon","AACENNOR"
"339","Anaheim","AAEHIMN"
"340","Analects","AACELNST"
"341","Ananias","AAAINNS"
"342","Anasazi","AAAINSZ"
"343","Anastasia","AAAAINSST"
"344","Anatole","AAELNOT"
"345","Anatolia","AAAILNOT"
"346","Anatolian","AAAILNNOT"
"347","Anaxagoras","AAAAGNORSX"
"348","Anchorage","AACEGHNOR"
"349","Andalusia","AAADILNSU"
"350","Andalusian","AAADILNNSU"
"351","Andaman","AAADMNN"
"352","Andean","AADENN"
"353","Andersen","ADEENNRS"
"354","Anderson","ADENNORS"
"355","Andes","ADENS"
"356","Andorra","AADNORR"
"357","Andre","ADENR"
"358","Andrea","AADENR"
"359","Andrei","ADEINR"
"360","Andres","ADENRS"
"361","Andretti","ADEINRTT"
"362","Andrew","ADENRW"
"363","Andrews","ADENRSW"
"364","Android","ADDINOR"
"365","Andromache","AACDEHMNOR"
"366","Andromeda","AADDEMNOR"
"367","Andropov","ADNOOPRV"
"368","Andy","ADNY"
"369","Angara","AAAGNR"
"370","Angel","AEGLN"
"371","Angela","AAEGLN"
"372","Angelia","AAEGILN"
"373","Angelica","AACEGILN"
"374","Angelico","ACEGILNO"
"375","Angelina","AAEGILNN"
"376","Angeline","AEEGILNN"
"377","Angelique","AEEGILNQU"
"378","Angelita","AAEGILNT"
"379","Angelo","AEGLNO"
"380","Angelou","AEGLNOU"
"381","Angevin","AEGINNV"
"382","Angie","AEGIN"
"383","Angkor","AGKNOR"
"384","Anglia","AAGILN"
"385","Anglican","AACGILNN"
"386","Anglicanism","AACGIILMNNS"
"387","Anglicanisms","AACGIILMNNSS"
"388","Anglicans","AACGILNNS"
"389","Anglicize","ACEGIILNZ"
"390","Anglo","AGLNO"
"391","Anglophile","AEGHILLNOP"
"392","Angola","AAGLNO"
"393","Angolan","AAGLNNO"
"394","Angolans","AAGLNNOS"
"395","Angora","AAGNOR"
"396","Angoras","AAGNORS"
"397","Anguilla","AAGILLNU"
"398","Angus","AGNSU"
"399","Aniakchak","AAACHIKKN"
"400","Anibal","AABILN"
"401","Anita","AAINT"
"402","Ankara","AAAKNR"
"403","Ann","ANN"
"404","Anna","AANN"
"405","Annabel","AABELNN"
"406","Annabelle","AABEELLNN"
"407","Annam","AAMNN"
"408","Annapolis","AAILNNOPS"
"409","Annapurna","AAANNNPRU"
"410","Anne","AENN"
"411","Annette","AEENNTT"
"412","Annie","AEINN"
"413","Annmarie","AAEIMNNR"
"414","Anouilh","AHILNOU"
"415","Anselm","AELMNS"
"416","Anselmo","AELMNOS"
"417","Anshan","AAHNNS"
"418","Antaeus","AAENSTU"
"419","Antananarivo","AAAAINNNORTV"
"420","Antarctic","AACCINRTT"
"421","Antarctica","AAACCINRTT"
"422","Antares","AAENRST"
"423","Anthony","AHNNOTY"
"424","Antichrist","ACHIINRSTT"
"425","Antichrists","ACHIINRSSTT"
"426","Antietam","AAEIMNTT"
"427","Antigone","AEGINNOT"
"428","Antigua","AAGINTU"
"429","Antilles","AEILLNST"
"430","Antioch","ACHINOT"
"431","Antipas","AAINPST"
"432","Antofagasta","AAAAFGNOSTT"
"433","Antoine","AEINNOT"
"434","Antoinette","AEEINNOTTT"
"435","Anton","ANNOT"
"436","Antone","AENNOT"
"437","Antonia","AAINNOT"
"438","Antoninus","AINNNOSTU"
"439","Antonio","AINNOOT"
"440","Antonius","AINNOSTU"
"441","Antony","ANNOTY"
"442","Antwan","AANNTW"
"443","Antwerp","AENPRTW"
"444","Anubis","ABINSU"
"445","Anzac","AACNZ"
"446","Apache","AACEHP"
"447","Apaches","AACEHPS"
"448","Apalachicola","AAAACCHILLOP"
"449","Apennines","AEEINNNPS"
"450","Aphrodite","ADEHIOPRT"
"451","Apia","AAIP"
"452","Apocrypha","AACHOPPRY"
"453","Apollinaire","AAEIILLNOPR"
"454","Apollo","ALLOOP"
"455","Apollonian","AAILLNNOOP"
"456","Apollos","ALLOOPS"
"457","Appalachia","AAAACHILPP"
"458","Appalachian","AAAACHILNPP"
"459","Appalachians","AAAACHILNPPS"
"460","Appaloosa","AAALOOPPS"
"461","Apple","AELPP"
"462","Appleseed","ADEEELPPS"
"463","Appleton","AELNOPPT"
"464","Appomattox","AAMOOPPTTX"
"465","Apr","APR"
"466","April","AILPR"
"467","Aprils","AILPRS"
"468","Apuleius","AEILPSUU"
"469","Aquafresh","AAEFHQRSU"
"470","Aquarius","AAIQRSUU"
"471","Aquariuses","AAEIQRSSUU"
"472","Aquila","AAILQU"
"473","Aquinas","AAINQSU"
"474","Aquino","AINOQU"
"475","Aquitaine","AAEIINQTU"
"476","Ara","AAR"
"477","Arab","AABR"
"478","Arabia","AAABIR"
"479","Arabian","AAABINR"
"480","Arabians","AAABINRS"
"481","Arabic","AABCIR"
"482","Arabs","AABRS"
"483","Araby","AABRY"
"484","Araceli","AACEILR"
"485","Arafat","AAAFRT"
"486","Araguaya","AAAAGRUY"
"487","Aral","AALR"
"488","Aramaic","AAACIMR"
"489","Aramco","AACMOR"
"490","Arapaho","AAAHOPR"
"491","Ararat","AAARRT"
"492","Araucanian","AAAACINNRU"
"493","Arawak","AAAKRW"
"494","Arawakan","AAAAKNRW"
"495","Arbitron","ABINORRT"
"496","Arcadia","AAACDIR"
"497","Arcadian","AAACDINR"
"498","Archean","AACEHNR"
"499","Archibald","AABCDHILR"
"500","Archie","ACEHIR"
"501","Archimedes","ACDEEHIMRS"
"502","Arctic","ACCIRT"
"503","Arcturus","ACRRSTUU"
"504","Arden","ADENR"
"505","Arequipa","AAEIPQRU"
"506","Ares","AERS"
"507","Argentina","AAEGINNRT"
"508","Argentine","AEEGINNRT"
"509","Argentinian","AAEGIINNNRT"
"510","Argentinians","AAEGIINNNRST"
"511","Argo","AGOR"
"512","Argonaut","AAGNORTU"
"513","Argonne","AEGNNOR"
"514","Argos","AGORS"
"515","Argus","AGRSU"
"516","Ariadne","AADEINR"
"517","Arianism","AAIIMNRS"
"518","Ariel","AEILR"
"519","Aries","AEIRS"
"520","Arieses","AEEIRSS"
"521","Ariosto","AIOORST"
"522","Aristarchus","AACHIRRSSTU"
"523","Aristides","ADEIIRSST"
"524","Aristophanes","AAEHINOPRSST"
"525","Aristotelian","AAEIILNORSTT"
"526","Aristotle","AEILORSTT"
"527","Arius","AIRSU"
"528","Ariz","AIRZ"
"529","Arizona","AAINORZ"
"530","Arizonan","AAINNORZ"
"531","Arizonans","AAINNORSZ"
"532","Arizonian","AAIINNORZ"
"533","Arizonians","AAIINNORSZ"
"534","Arjuna","AAJNRU"
"535","Ark","AKR"
"536","Arkansan","AAAKNNRS"
"537","Arkansas","AAAKNRSS"
"538","Arkhangelsk","AAEGHKKLNRS"
"539","Arkwright","AGHIKRRTW"
"540","Arlene","AEELNR"
"541","Arline","AEILNR"
"542","Arlington","AGILNNORT"
"543","Armageddon","AADDEGMNOR"
"544","Armageddons","AADDEGMNORS"
"545","Armagnac","AAACGMNR"
"546","Armand","AADMNR"
"547","Armando","AADMNOR"
"548","Armani","AAIMNR"
"549","Armenia","AAEIMNR"
"550","Armenian","AAEIMNNR"
"551","Armenians","AAEIMNNRS"
"552","Arminius","AIIMNRSU"
"553","Armonk","AKMNOR"
"554","Armour","AMORRU"
"555","Armstrong","AGMNORRST"
"556","Arneb","ABENR"
"557","Arnhem","AEHMNR"
"558","Arno","ANOR"
"559","Arnold","ADLNOR"
"560","Arnulfo","AFLNORU"
"561","Aron","ANOR"
"562","Arrhenius","AEHINRRSU"
"563","Arron","ANORR"
"564","Art","ART"
"565","Artaxerxes","AAEERRSTXX"
"566","Artemis","AEIMRST"
"567","Arthur","AHRRTU"
"568","Arthurian","AAHINRRTU"
"569","Artie","AEIRT"
"570","Arturo","AORRTU"
"571","Aruba","AABRU"
"572","Aryan","AANRY"
"573","Aryans","AANRSY"
"574","Asama","AAAMS"
"575","Ascella","AACELLS"
"576","Asgard","AADGRS"
"577","Ashanti","AAHINST"
"578","Ashcroft","ACFHORST"
"579","Ashe","AEHS"
"580","Ashikaga","AAAGHIKS"
"581","Ashkenazim","AAEHIKMNSZ"
"582","Ashkhabad","AAABDHHKS"
"583","Ashlee","AEEHLS"
"584","Ashley","AEHLSY"
"585","Ashmolean","AAEHLMNOS"
"586","Ashurbanipal","AAABHILNPRSU"
"587","Asia","AAIS"
"588","Asian","AAINS"
"589","Asians","AAINSS"
"590","Asiatic","AACIIST"
"591","Asiatics","AACIISST"
"592","Asimov","AIMOSV"
"593","Asmara","AAAMRS"
"594","Asoka","AAKOS"
"595","Aspell","AELLPS"
"596","Aspen","AENPS"
"597","Aspidiske","ADEIIKPSS"
"598","Asquith","AHIQSTU"
"599","Assad","AADSS"
"600","Assam","AAMSS"
"601","Assamese","AAEEMSSS"
"602","Assisi","AIISSS"
"603","Assyria","AAIRSSY"
"604","Assyrian","AAINRSSY"
"605","Assyrians","AAINRSSSY"
"606","Astaire","AAEIRST"
"607","Astana","AAANST"
"608","Astarte","AAERSTT"
"609","Aston","ANOST"
"610","Astor","AORST"
"611","Astoria","AAIORST"
"612","Astrakhan","AAAHKNRST"
"613","AstroTurf","AFORRSTTU"
"614","Asturias","AAIRSSTU"
"615","Aswan","AANSW"
"616","Atacama","AAAACMT"
"617","Atahualpa","AAAAHLPTU"
"618","Atalanta","AAAALNTT"
"619","Atari","AAIRT"
"620","Athabasca","AAAABCHST"
"621","Athabascan","AAAABCHNST"
"622","Athena","AAEHNT"
"623","Athenian","AAEHINNT"
"624","Athenians","AAEHINNST"
"625","Athens","AEHNST"
"626","Atkins","AIKNST"
"627","Atkinson","AIKNNOST"
"628","Atlanta","AAALNTT"
"629","Atlantes","AAELNSTT"
"630","Atlantic","AACILNTT"
"631","Atlantis","AAILNSTT"
"632","Atlas","AALST"
"633","Atlases","AAELSST"
"634","Atman","AAMNT"
"635","Atreus","AERSTU"
"636","Atria","AAIRT"
"637","Atropos","AOOPRST"
"638","Ats","AST"
"639","Attic","ACITT"
"640","Attica","AACITT"
"641","Attila","AAILTT"
"642","Attlee","AEELTT"
"643","Attucks","ACKSTTU"
"644","Atwood","ADOOTW"
"645","Aubrey","ABERUY"
"646","Auckland","AACDKLNU"
"647","Auden","ADENU"
"648","Audi","ADIU"
"649","Audion","ADINOU"
"650","Audra","AADRU"
"651","Audrey","ADERUY"
"652","Audubon","ABDNOUU"
"653","Aug","AGU"
"654","Augean","AAEGNU"
"655","Augsburg","ABGGRSUU"
"656","August","AGSTUU"
"657","Augusta","AAGSTUU"
"658","Augustan","AAGNSTUU"
"659","Augustine","AEGINSTUU"
"660","Augusts","AGSSTUU"
"661","Augustus","AGSSTUUU"
"662","Aurangzeb","AABEGNRUZ"
"663","Aurelia","AAEILRU"
"664","Aurelio","AEILORU"
"665","Aurelius","AEILRSUU"
"666","Aureomycin","ACEIMNORUY"
"667","Auriga","AAGIRU"
"668","Aurora","AAORRU"
"669","Auschwitz","ACHISTUWZ"
"670","Aussie","AEISSU"
"671","Aussies","AEISSSU"
"672","Austen","AENSTU"
"673","Austerlitz","AEILRSTTUZ"
"674","Austin","AINSTU"
"675","Austins","AINSSTU"
"676","Australasia","AAAAILRSSTU"
"677","Australia","AAAILRSTU"
"678","Australian","AAAILNRSTU"
"679","Australians","AAAILNRSSTU"
"680","Australoid","AADILORSTU"
"681","Australopithecus","AACEHILOPRSSTTUU"
"682","Austria","AAIRSTU"
"683","Austrian","AAINRSTU"
"684","Austrians","AAINRSSTU"
"685","Austronesian","AAEINNORSSTU"
"686","Autumn","AMNTUU"
"687","Ava","AAV"
"688","Avalon","AALNOV"
"689","Ave","AEV"
"690","Aventine","AEEINNTV"
"691","Avernus","AENRSUV"
"692","Averroes","AEEORRSV"
"693","Avery","AERVY"
"694","Avesta","AAESTV"
"695","Avicenna","AACEINNV"
"696","Avignon","AGINNOV"
"697","Avila","AAILV"
"698","Avior","AIORV"
"699","Avis","AISV"
"700","Avogadro","AADGOORV"
"701","Avon","ANOV"
"702","Axum","AMUX"
"703","Ayala","AAALY"
"704","Ayers","AERSY"
"705","Aymara","AAAMRY"
"706","Ayrshire","AEHIRRSY"
"707","Ayurveda","AADERUVY"
"708","Ayyubid","ABDIUYY"
"709","Azana","AAANZ"
"710","Azania","AAAINZ"
"711","Azazel","AAELZZ"
"712","Azerbaijan","AAABEIJNRZ"
"713","Azerbaijani","AAABEIIJNRZ"
"714","Azores","AEORSZ"
"715","Azov","AOVZ"
"716","Aztec","ACETZ"
"717","Aztecan","AACENTZ"
"718","Aztecs","ACESTZ"
"719","Aztlan","AALNTZ"
"720","BMW","BMW"
"721","Baal","AABL"
"722","Baath","AABHT"
"723","Baathist","AABHISTT"
"724","Babar","AABBR"
"725","Babbage","AABBBEG"
"726","Babbitt","ABBBITT"
"727","Babel","ABBEL"
"728","Babels","ABBELS"
"729","Babur","ABBRU"
"730","Babylon","ABBLNOY"
"731","Babylonian","AABBILNNOY"
"732","Babylons","ABBLNOSY"
"733","Bacall","AABCLL"
"734","Bacardi","AABCDIR"
"735","Bacchanalia","AAAABCCHILN"
"736","Bacchus","ABCCHSU"
"737","Bach","ABCH"
"738","Backus","ABCKSU"
"739","Bacon","ABCNO"
"740","Bactria","AABCIRT"
"741","Baden","ABDEN"
"742","Badlands","AABDDLNS"
"743","Baedeker","ABDEEEKR"
"744","Baez","ABEZ"
"745","Baffin","ABFFIN"
"746","Baggies","ABEGGIS"
"747","Baghdad","AABDDGH"
"748","Baguio","ABGIOU"
"749","Bahama","AAABHM"
"750","Bahamas","AAABHMS"
"751","Bahamian","AAABHIMN"
"752","Bahamians","AAABHIMNS"
"753","Bahia","AABHI"
"754","Bahrain","AABHINR"
"755","Baikal","AABIKL"
"756","Bailey","ABEILY"
"757","Baird","ABDIR"
"758","Bakelite","ABEEIKLT"
"759","Baker","ABEKR"
"760","Bakersfield","ABDEEFIKLRS"
"761","Baku","ABKU"
"762","Bakunin","ABIKNNU"
"763","Balanchine","AABCEHILNN"
"764","Balaton","AABLNOT"
"765","Balboa","AABBLO"
"766","Balder","ABDELR"
"767","Baldwin","ABDILNW"
"768","Balearic","AABCEILR"
"769","Balfour","ABFLORU"
"770","Bali","ABIL"
"771","Balinese","ABEEILNS"
"772","Balkan","AABKLN"
"773","Balkans","AABKLNS"
"774","Balkhash","AABHHKLS"
"775","Ball","ABLL"
"776","Ballard","AABDLLR"
"777","Balthazar","AAABHLRTZ"
"778","Baltic","ABCILT"
"779","Baltimore","ABEILMORT"
"780","Baluchistan","AABCHILNSTU"
"781","Balzac","AABCLZ"
"782","Bamako","AABKMO"
"783","Bambi","ABBIM"
"784","Banach","AABCHN"
"785","Bancroft","ABCFNORT"
"786","Bandung","ABDGNNU"
"787","Bangalore","AABEGLNOR"
"788","Bangkok","ABGKKNO"
"789","Bangladesh","AABDEGHLNS"
"790","Bangladeshi","AABDEGHILNS"
"791","Bangladeshis","AABDEGHILNSS"
"792","Bangor","ABGNOR"
"793","Bangui","ABGINU"
"794","Banjarmasin","AAABIJMNNRS"
"795","Banjul","ABJLNU"
"796","Banks","ABKNS"
"797","Banneker","ABEEKNNR"
"798","Bannister","ABEINNRST"
"799","Banting","ABGINNT"
"800","Bantu","ABNTU"
"801","Bantus","ABNSTU"
"802","Baotou","ABOOTU"
"803","Baptist","ABIPSTT"
"804","Baptiste","ABEIPSTT"
"805","Baptists","ABIPSSTT"
"806","Barabbas","AAABBBRS"
"807","Barack","AABCKR"
"808","Barbadian","AAABBDINR"
"809","Barbadians","AAABBDINRS"
"810","Barbados","AABBDORS"
"811","Barbara","AAABBRR"
"812","Barbarella","AAABBELLRR"
"813","Barbarossa","AAABBORRSS"
"814","Barbary","AABBRRY"
"815","Barber","ABBERR"
"816","Barbie","ABBEIR"
"817","Barbour","ABBORRU"
"818","Barbra","AABBRR"
"819","Barbuda","AABBDRU"
"820","Barcelona","AABCELNOR"
"821","Barclay","AABCLRY"
"822","Bardeen","ABDEENR"
"823","Barents","ABENRST"
"824","Barker","ABEKRR"
"825","Barkley","ABEKLRY"
"826","Barlow","ABLORW"
"827","Barnabas","AAABBNRS"
"828","Barnaby","AABBNRY"
"829","Barnard","AABDNRR"
"830","Barnaul","AABLNRU"
"831","Barnes","ABENRS"
"832","Barnett","ABENRTT"
"833","Barney","ABENRY"
"834","Barnum","ABMNRU"
"835","Baroda","AABDOR"
"836","Barquisimeto","ABEIIMOQRSTU"
"837","Barr","ABRR"
"838","Barranquilla","AAABILLNQRRU"
"839","Barrera","AABERRR"
"840","Barrett","ABERRTT"
"841","Barrie","ABEIRR"
"842","Barron","ABNORR"
"843","Barry","ABRRY"
"844","Barrymore","ABEMORRRY"
"845","Bart","ABRT"
"846","Barth","ABHRT"
"847","Bartholdi","ABDHILORT"
"848","Bartholomew","ABEHLMOORTW"
"849","Bartlett","ABELRTTT"
"850","Barton","ABNORT"
"851","Baruch","ABCHRU"
"852","Baryshnikov","ABHIKNORSVY"
