"","Word","Changed"
"586","Ashurbanipal","AAABHILNPRSU"
"751","Bahamian","AAABHIMN"
"752","Bahamians","AAABHIMNS"
"216","Alhambra","AAABHLMR"
"777","Balthazar","AAABHLRTZ"
"749","Bahama","AAABHM"
"1241","Brahmaputra","AAABHMPRRTU"
"20","Abraham","AAABHMR"
"750","Bahamas","AAABHMS"
"8582","Tabatha","AAABHTT"
"42388","maintainability","AAABIIIILMNNTTY"
"13115","availability","AAABIIILLTVY"
"794","Banjarmasin","AAABIJMNNRS"
"838","Barranquilla","AAABILLNQRRU"
"157","Albania","AAABILN"
"158","Albanian","AAABILNN"
"159","Albanians","AAABILNNS"
"1264","Bratislava","AAABILRSTV"
"6873","Paramaribo","AAABIMOPRR"
"335","Anabaptist","AAABINPSTT"
"479","Arabian","AAABINR"
"480","Arabians","AAABINRS"
"876","Bavarian","AAABINRV"
"478","Arabia","AAABIR"
"875","Bavaria","AAABIRV"
"4623","Kaaba","AAABK"
"5516","Malabar","AAABLMR"
"48383","parabola","AAABLOPR"
"48384","parabolas","AAABLOPRS"
"13579","banana","AAABNN"
"13580","bananas","AAABNNS"
"7411","Rastaban","AAABNRST"
"863","Bataan","AAABNT"
"8520","Surabaya","AAABRSUY"
"13999","bazaars","AAABRSZ"
"13998","bazaar","AAABRZ"
"17369","capacitance","AAACCCEINPT"
"10014","academician","AAACCDEIIMN"
"10015","academicians","AAACCDEIIMNS"
"37382","incapacitated","AAACCDEIINPTT"
"10013","academically","AAACCDEILLMY"
"10012","academical","AAACCDEILM"
"17975","cavalcades","AAACCDELSV"
"17974","cavalcade","AAACCDELV"
"17513","cardiovascular","AAACCDILORRSUV"
"12252","archaeological","AAACCEGHILLOOR"
"18354","characterization","AAACCEHIINORRTTZ"
"49670","pharmaceuticals","AAACCEHILMPRSTU"
"49669","pharmaceutical","AAACCEHILMPRTU"
"37383","incapacitates","AAACCEIINPSTT"
"37381","incapacitate","AAACCEIINPTT"
"10239","acquaintances","AAACCEINNQSTU"
"10238","acquaintance","AAACCEINNQTU"
"17462","carapace","AAACCEPR"
"17463","carapaces","AAACCEPRS"
"37384","incapacitating","AAACCGIIINNPTT"
"37","Aconcagua","AAACCGNOU"
"11531","anarchically","AAACCHILLNRY"
"17831","catastrophically","AAACCHILLOPRSTTY"
"12257","archaically","AAACCHILLRY"
"10008","acacia","AAACCI"
"10080","acclimatization","AAACCIIILMNOTTZ"
"12356","aristocratically","AAACCIILLORRSTTY"
"13074","autocratically","AAACCILLORTTUY"
"57489","sarcastically","AAACCILLRSSTY"
"10074","acclamation","AAACCILMNOT"
"17497","carcinomata","AAACCIMNORT"
"421","Antarctica","AAACCINRTT"
"1692","Caucasians","AAACCINSSU"
"1691","Caucasian","AAACCINSU"
"10009","acacias","AAACCIS"
"5518","Malacca","AAACCLM"
"1584","Caracas","AAACCRS"
"17826","cataracts","AAACCRSTT"
"17825","cataract","AAACCRTT"
"17146","camaraderie","AAACDEEIMRR"
"25131","disappearance","AAACDEEINPPRS"
"25132","disappearances","AAACDEEINPPRSS"
"1757","Chandrasekhar","AAACDEHHKNRRS"
"43312","melodramatically","AAACDEILLLMMORTY"
"10677","aerodynamically","AAACDEILLMNORYY"
"1519","Camelopardalis","AAACDEILLMOPRS"
"48440","paramedical","AAACDEILMPR"
"48441","paramedicals","AAACDEILMPRS"
"10010","academia","AAACDEIM"
"42864","mascaraed","AAACDEMRS"
"1664","Castaneda","AAACDENST"
"1756","Chandragupta","AAACDGHNPRTU"
"24733","diagrammatic","AAACDGIIMMRT"
"48396","paradigmatic","AAACDGIIMPRT"
"27","Acadia","AAACDI"
"7916","Scandinavians","AAACDIINNNSSV"
"7915","Scandinavian","AAACDIINNNSV"
"7914","Scandinavia","AAACDIINNSV"
"26483","dramatically","AAACDILLMRTY"
"48404","paradoxically","AAACDILLOPRXY"
"48403","paradoxical","AAACDILOPRX"
"1537","Canadian","AAACDINN"
"1538","Canadians","AAACDINNS"
"497","Arcadian","AAACDINR"
"496","Arcadia","AAACDIR"
"42187","macadam","AAACDMM"
"1536","Canada","AAACDN"
"11486","anaconda","AAACDNNO"
"11487","anacondas","AAACDNNOS"
"1649","Casandra","AAACDNRS"
"1659","Cassandra","AAACDNRSS"
"54001","reappearance","AAACEEENPPRR"
"54002","reappearances","AAACEEENPPRRS"
"42444","malfeasance","AAACEEFLMNS"
"29466","extravagances","AAACEEGNRSTVX"
"29465","extravagance","AAACEEGNRTVX"
"12030","appearance","AAACEENPPR"
"12031","appearances","AAACEENPPRS"
"1468","Caesarean","AAACEENRS"
"16981","caesarean","AAACEENRS"
"16982","caesareans","AAACEENRSS"
"17793","catafalques","AAACEFLQSTU"
"17792","catafalque","AAACEFLQTU"
"43267","megalomaniac","AAACEGILMMNO"
"43268","megalomaniacs","AAACEGILMMNOS"
"17642","carriageway","AAACEGIRRWY"
"5443","Machiavellian","AAACEHIILLMNV"
"42996","mathematicians","AAACEHIIMMNSTT"
"42995","mathematician","AAACEHIIMMNTT"
"42994","mathematically","AAACEHILLMMTTY"
"11940","apathetically","AAACEHILLPTTY"
"42993","mathematical","AAACEHILMMTT"
"49679","pharmacopoeia","AAACEHIMOOPPR"
"49680","pharmacopoeias","AAACEHIMOOPPRS"
"49677","pharmacopeia","AAACEHIMOPPR"
"49678","pharmacopeias","AAACEHIMOPPRS"
"7883","Saskatchewan","AAACEHKNSSTW"
"13121","avalanches","AAACEHLNSV"
"13120","avalanche","AAACEHLNV"
"32","Achaean","AAACEHN"
"305","Americanizations","AAACEIIIMNNORSTZ"
"304","Americanization","AAACEIIIMNNORTZ"
"10679","aeronautical","AAACEILNORTU"
"301","Americana","AAACEIMNR"
"48436","paramecia","AAACEIMPR"
"16983","caesarian","AAACEINRS"
"16984","caesarians","AAACEINRSS"
"1529","Campanella","AAACELLMNP"
"57149","sacramental","AAACELMNRST"
"43530","metacarpals","AAACELMPRST"
"43529","metacarpal","AAACELMPRT"
"1541","Canaveral","AAACELNRV"
"17168","camerawoman","AAACEMMNORW"
"17165","cameraman","AAACEMMNR"
"48255","panacea","AAACENP"
"48256","panaceas","AAACENPS"
"11825","antiaircraft","AAACFIINRRTT"
"29788","fantastically","AAACFILLNSTTY"
"29758","fanatically","AAACFILLNTY"
"29757","fanatical","AAACFILNT"
"1585","Caravaggio","AAACGGIORV"
"1641","Carthaginian","AAACGHIINNRT"
"1496","Callaghan","AAACGHLLN"
"1793","Chattanooga","AAACGHNOOTT"
"11766","antagonistically","AAACGIILLNNOSTTY"
"33664","grammatically","AAACGILLMMRTY"
"51324","pragmatically","AAACGILLMPRTY"
"68568","ungrammatical","AAACGILMMNRTU"
"33663","grammatical","AAACGILMMRT"
"42865","mascaraing","AAACGIMNRS"
"6486","Nicaraguans","AAACGINNRSU"
"6485","Nicaraguan","AAACGINNRU"
"6484","Nicaragua","AAACGINRU"
"57685","scalawags","AAACGLSSW"
"57684","scalawag","AAACGLSW"
"545","Armagnac","AAACGMNR"
"4773","Khachaturian","AAACHHIKNRTU"
"9651","Zachariah","AAACHHIRZ"
"399","Aniakchak","AAACHIKKN"
"43001","matriarchal","AAACHILMRRT"
"48803","patriarchal","AAACHILPRRT"
"1629","Carpathians","AAACHINPRST"
"1628","Carpathian","AAACHINPRT"
"1741","Chaitanya","AAACHINTY"
"1473","Caiaphas","AAACHIPS"
"4641","Kamchatka","AAACHKKMT"
"1497","Callahan","AAACHLLN"
"18390","charlatans","AAACHLNRST"
"18389","charlatan","AAACHLNRT"
"18328","chaparral","AAACHLPRR"
"18329","chaparrals","AAACHLPRRS"
"1798","Chautauqua","AAACHQTUUU"
"17392","capitalization","AAACIIILNOPTTZ"
"13241","axiomatically","AAACIILLMOTXY"
"10313","actualization","AAACIILNOTTUZ"
"4364","Jamaica","AAACIJM"
"4365","Jamaican","AAACIJMN"
"4366","Jamaicans","AAACIJMNS"
"11521","analytically","AAACILLLNTYY"
"11541","anatomically","AAACILLMNOTY"
"13086","automatically","AAACILLMOTTUY"
"57527","satanically","AAACILLNSTY"
"11519","analytical","AAACILLNTY"
"42583","maniacal","AAACILMN"
"11540","anatomical","AAACILMNOT"
"66804","transatlantic","AAACILNNRSTTT"
"1672","Catalonia","AAACILNOT"
"1671","Catalina","AAACILNT"
"10319","actuarial","AAACILRTU"
"488","Aramaic","AAACIMR"
"11197","almanac","AAACLMN"
"17980","cavalryman","AAACLMNRVY"
"11198","almanacs","AAACLMNS"
"5433","Macaulay","AAACLMUY"
"1670","Catalan","AAACLNT"
"11215","alpaca","AAACLP"
"11216","alpacas","AAACLPS"
"17810","catalpas","AAACLPST"
"17809","catalpa","AAACLPT"
"170","Alcatraz","AAACLRTZ"
"5846","McNamara","AAACMMNR"
"57492","sarcomata","AAACMORST"
"42702","maraca","AAACMR"
"42703","maracas","AAACMRS"
"42863","mascara","AAACMRS"
"42866","mascaras","AAACMRSS"
"1535","Canaan","AAACNN"
"1651","Casanovas","AAACNOSSV"
"1650","Casanova","AAACNOSV"
"1632","Carranza","AAACNRRZ"
"17467","caravans","AAACNRSV"
"17466","caravan","AAACNRV"
"17215","canasta","AAACNST"
"17325","cantatas","AAACNSTT"
"17324","cantata","AAACNTT"
"6628","Oaxaca","AAACOX"
"17469","caraways","AAACRSWY"
"17468","caraway","AAACRWY"
"17731","cassavas","AAACSSSV"
"17748","castaways","AAACSSTWY"
"17730","cassava","AAACSSV"
"17747","castaway","AAACSTWY"
"25107","disadvantaged","AAADDDEGINSTV"
"25108","disadvantageous","AAADDEGINOSSTUV"
"25109","disadvantages","AAADDEGINSSTV"
"25106","disadvantage","AAADDEGINSTV"
"10590","advantaged","AAADDEGNTV"
"121","Ahmadinejad","AAADDEHIJMN"
"25110","disadvantaging","AAADDGGIINNSTV"
"3533","Gondwanaland","AAADDGLNNNOW"
"62387","standardization","AAADDIINNORSTTZ"
"4418","Jayawardene","AAADEEJNRWY"
"2404","Delawareans","AAADEELNRSW"
"2403","Delawarean","AAADEELNRW"
"10837","aggravated","AAADEGGRTV"
"48409","paragraphed","AAADEGHPPRR"
"2462","Devanagari","AAADEGINRV"
"5476","Magdalena","AAADEGLMN"
"10592","advantageously","AAADEGLNOSTUVY"
"10591","advantageous","AAADEGNOSTUV"
"10593","advantages","AAADEGNSTV"
"10589","advantage","AAADEGNTV"
"48458","paraphrased","AAADEHPPRRS"
"8764","Theravada","AAADEHRTV"
"9252","Vivekananda","AAADEIKNNVV"
"53119","quadrilaterals","AAADEILLQRRSTU"
"53118","quadrilateral","AAADEILLQRRTU"
"196","Alexandria","AAADEILNRX"
"10613","adversarial","AAADEILRRSV"
"12636","assassinated","AAADEINSSSST"
"187","Alejandra","AAADEJLNR"
"42791","marmalade","AAADELMMR"
"57263","salamander","AAADELMNRS"
"57264","salamanders","AAADELMNRSS"
"57254","salaamed","AAADELMS"
"12202","aquaplaned","AAADELNPQU"
"195","Alexandra","AAADELNRX"
"6897","Pasadena","AAADENPS"
"3033","Faraday","AAADFRY"
"10594","advantaging","AAADGGINNTV"
"3294","Galahad","AAADGHL"
"3295","Galahads","AAADGHLS"
"33139","gladiatorial","AAADGIILLORT"
"53109","quadrangular","AAADGLNQRRUU"
"52342","propaganda","AAADGNOPPR"
"3583","Granada","AAADGNR"
"34718","haphazardly","AAADHHLPRYZ"
"34717","haphazard","AAADHHPRZ"
"6269","Muhammadanisms","AAADHIMMMMNSSU"
"6268","Muhammadanism","AAADHIMMMMNSU"
"4646","Kandahar","AAADHKNR"
"6270","Muhammadans","AAADHMMMNSU"
"6267","Muhammadan","AAADHMMMNU"
"61","Adhara","AAADHR"
"26488","dramatizations","AAADIIMNORSTTZ"
"26487","dramatization","AAADIIMNORTTZ"
"2290","Dalmatians","AAADILMNST"
"23049","dalmatians","AAADILMNST"
"2289","Dalmatian","AAADILMNT"
"23048","dalmatian","AAADILMNT"
"350","Andalusian","AAADILNNSU"
"7814","Salvadorians","AAADILNORSSV"
"7813","Salvadorian","AAADILNORSV"
"349","Andalusia","AAADILNSU"
"10349","adaptations","AAADINOPSTT"
"10348","adaptation","AAADINOPTT"
"73","Adriana","AAADINR"
"2532","Djakarta","AAADJKRT"
"7824","Samarkand","AAADKMNRS"
"4649","Kannada","AAADKNN"
"9732","aardvarks","AAADKRRSV"
"9731","aardvark","AAADKRRV"
"10344","adamantly","AAADLMNTY"
"5569","Mandalay","AAADLMNY"
"7812","Salvadorans","AAADLNORSSV"
"7811","Salvadoran","AAADLNORSV"
"5058","Lawanda","AAADLNW"
"277","Alvarado","AAADLORV"
"288","Amanda","AAADMN"
"351","Andaman","AAADMNN"
"6371","Narmada","AAADMNR"
"7379","Ramadan","AAADMNR"
"7380","Ramadans","AAADMNRS"
"10343","adamant","AAADMNT"
"7378","Ramada","AAADMR"
"12364","armada","AAADMR"
"12365","armadas","AAADMRS"
"5726","Masada","AAADMS"
"49","Adana","AAADN"
"8087","Shakespearean","AAAEEEHKNPRSS"
"58720","septuagenarians","AAAEEGINNPRSSTU"
"58719","septuagenarian","AAAEEGINNPRSTU"
"58893","sexagenarians","AAAEEGINNRSSX"
"58892","sexagenarian","AAAEEGINNRSX"
"4642","Kamehameha","AAAEEHHKMM"
"11491","anaesthesia","AAAEEHINSST"
"8612","Tallahassee","AAAEEHLLSST"
"42327","maharanee","AAAEEHMNR"
"42328","maharanees","AAAEEHMNRS"
"48464","paraprofessional","AAAEFILNOOPPRRSS"
"57518","sassafrases","AAAEFRSSSSS"
"10838","aggravates","AAAEGGRSTV"
"10836","aggravate","AAAEGGRTV"
"7408","Rasalhague","AAAEGHLRSU"
"27281","egalitarianism","AAAEGIIILMNRST"
"27282","egalitarians","AAAEGIILNRST"
"27280","egalitarian","AAAEGIILNRT"
"43266","megalomania","AAAEGILMMNO"
"42525","managerial","AAAEGILMNR"
"11503","analgesia","AAAEGILNS"
"48461","paraplegia","AAAEGILPPR"
"46091","nonagenarian","AAAEGINNNNOR"
"46092","nonagenarians","AAAEGINNNNORS"
"48425","parallelogram","AAAEGLLLMOPRR"
"48426","parallelograms","AAAEGLLLMOPRRS"
"48414","paralegal","AAAEGLLPR"
"48415","paralegals","AAAEGLLPRS"
"3647","Guatemalans","AAAEGLMNSTU"
"3646","Guatemalan","AAAEGLMNTU"
"3645","Guatemala","AAAEGLMTU"
"29468","extravagantly","AAAEGLNRTTVXY"
"69655","vassalage","AAAEGLSSV"
"3297","Galatea","AAAEGLT"
"6373","Narragansett","AAAEGNNRRSTT"
"6859","Pangaea","AAAEGNP"
"29467","extravagant","AAAEGNRTTVX"
"48680","passageways","AAAEGPSSSWY"
"48679","passageway","AAAEGPSSWY"
"28714","euthanasia","AAAEHINSTU"
"11538","anathemas","AAAEHMNST"
"11537","anathema","AAAEHMNT"
"12404","aromatherapy","AAAEHMOPRRTY"
"57614","savannahes","AAAEHNNSSV"
"48457","paraphrase","AAAEHPPRRS"
"48459","paraphrases","AAAEHPPRRSS"
"42981","materialization","AAAEIIILMNORTTZ"
"48445","paramilitaries","AAAEIIILMPRRST"
"48545","parliamentary","AAAEILMNPRRTY"
"29451","extramarital","AAAEILMRRTTX"
"50338","planetaria","AAAEILNPRT"
"54020","reappraisal","AAAEILPPRRS"
"54021","reappraisals","AAAEILPPRRSS"
"11488","anaemia","AAAEIMN"
"12198","aquamarines","AAAEIMNQRSU"
"12197","aquamarine","AAAEIMNQRU"
"298","Amerasian","AAAEIMNRS"
"12637","assassinates","AAAEINSSSSST"
"12635","assassinate","AAAEINSSSST"
"4636","Kalevala","AAAEKLLV"
"9317","Wanamaker","AAAEKMNRW"
"64777","takeaways","AAAEKSTWY"
"48417","parallaxes","AAAELLPRSX"
"43289","melanomata","AAAELMMNOT"
"43560","metatarsals","AAAELMRSSTT"
"43559","metatarsal","AAAELMRSTT"
"12203","aquaplanes","AAAELNPQSU"
"12201","aquaplane","AAAELNPQU"
"64932","tarantulae","AAAELNRTTU"
"7113","Plataea","AAAELPT"
"13253","azaleas","AAAELSZ"
"13252","azalea","AAAELZ"
"12589","aspartame","AAAEMPRST"
"291","Amaterasu","AAAEMRSTU"
"12014","apparatuses","AAAEPPRSSTU"
"11049","alfalfa","AAAFFLL"
"90","Afghanistan","AAAFGHINNST"
"3128","Flanagan","AAAFGLNN"
"8912","Trafalgar","AAAFGLRRT"
"3038","Farrakhan","AAAFHKNRR"
"3025","Falasha","AAAFHLS"
"29738","familiarization","AAAFIIIILMNORTZ"
"95","Afrikaans","AAAFIKNRS"
"57517","sassafras","AAAFRSSSS"
"485","Arafat","AAAFRT"
"29793","faraway","AAAFRWY"
"10839","aggravating","AAAGGGINRTV"
"3704","Hagiographa","AAAGGHHIOPR"
"48410","paragraphing","AAAGGHINPPRR"
"4967","Lagrangian","AAAGGILNNR"
"10841","aggravations","AAAGGINORSTV"
"10840","aggravation","AAAGGINORTV"
"3296","Galapagos","AAAGGLOPS"
"32553","gargantuan","AAAGGNNRTU"
"3336","Gargantua","AAAGGNRTU"
"580","Ashikaga","AAAGHIKS"
"3422","Ghanaian","AAAGHINN"
"48460","paraphrasing","AAAGHINPPRRS"
"63001","straightaways","AAAGHIRSSTTWY"
"63000","straightaway","AAAGHIRSTTWY"
"48408","paragraph","AAAGHPPRR"
"48411","paragraphs","AAAGHPPRRS"
"104","Agatha","AAAGHT"
"42733","marginalia","AAAGIILMNR"
"47214","organizational","AAAGIILNNOORTZ"
"45587","navigational","AAAGIILNNOTV"
"33812","gravitational","AAAGIILNORTTV"
"12638","assassinating","AAAGIINNSSSST"
"8638","Tanganyika","AAAGIKNNTY"
"6335","Nagasaki","AAAGIKNS"
"106","Aglaia","AAAGIL"
"57255","salaaming","AAAGILMNS"
"12204","aquaplaning","AAAGILNNPQU"
"3299","Galatians","AAAGILNST"
"3298","Galatia","AAAGILT"
"33660","grammarian","AAAGIMMNRR"
"33661","grammarians","AAAGIMMNRRS"
"42730","margaritas","AAAGIMRRST"
"5633","Margarita","AAAGIMRRT"
"42729","margarita","AAAGIMRRT"
"6908","Patagonian","AAAGINNOPT"
"6907","Patagonia","AAAGINOPT"
"6480","Niagara","AAAGINR"
"10890","agrarian","AAAGINRR"
"10891","agrarians","AAAGINRRS"
"4519","Jogjakarta","AAAGJJKORT"
"3668","Gujranwala","AAAGJLNRUW"
"11278","amalgam","AAAGLMM"
"11285","amalgams","AAAGLMMS"
"5520","Malagasy","AAAGLMSY"
"40572","lasagna","AAAGLNS"
"40573","lasagnas","AAAGLNSS"
"3642","Guantanamo","AAAGMNNOTU"
"11500","anagram","AAAGMNR"
"11501","anagrams","AAAGMNRS"
"5560","Managua","AAAGMNU"
"5488","Magsaysay","AAAGMSSYY"
"3360","Gautama","AAAGMTU"
"369","Angara","AAAGNR"
"7867","Saragossa","AAAGORSSS"
"12588","asparagus","AAAGPRSSU"
"6870","Paraguay","AAAGPRUY"
"3948","Hiawatha","AAAHHITW"
"3806","Hathaway","AAAHHTWY"
"36301","humanitarianism","AAAHIIIMMNNRSTU"
"13050","authoritarianism","AAAHIIIMNORRSTTU"
"36302","humanitarians","AAAHIIMNNRSTU"
"36300","humanitarian","AAAHIIMNNRTU"
"13051","authoritarians","AAAHIINORRSTTU"
"13049","authoritarian","AAAHIINORRTTU"
"3820","Hawaiians","AAAHIINSW"
"3819","Hawaiian","AAAHIINW"
"4632","Kalahari","AAAHIKLR"
"7381","Ramakrishna","AAAHIKMNRRS"
"4687","Kathiawar","AAAHIKRTW"
"3969","Himalayas","AAAHILMSY"
"3968","Himalaya","AAAHILMY"
"3","Aaliyah","AAAHILY"
"42329","maharani","AAAHIMNR"
"42330","maharanis","AAAHIMNRS"
"42741","marihuana","AAAHIMNRU"
"5495","Mahayanist","AAAHIMNSTY"
"5493","Mahavira","AAAHIMRV"
"3971","Hinayana","AAAHINNY"
"11951","aphasia","AAAHIPS"
"4710","Kazakhstan","AAAHKKNSTZ"
"134","Akhmatova","AAAHKMOTV"
"8091","Shankara","AAAHKNRS"
"612","Astrakhan","AAAHKNRST"
"12780","astrakhan","AAAHKNRST"
"9117","Valhalla","AAAHLLLV"
"13249","ayatollahs","AAAHLLOSTY"
"13248","ayatollah","AAAHLLOTY"
"5026","Latasha","AAAHLST"
"42334","mahatmas","AAAHMMST"
"42333","mahatma","AAAHMMT"
"5579","Manhattans","AAAHMNNSTT"
"5578","Manhattan","AAAHMNNTT"
"11289","amaranths","AAAHMNRST"
"11288","amaranth","AAAHMNRT"
"7819","Samantha","AAAHMNST"
"5611","Maratha","AAAHMRT"
"9583","Yamaha","AAAHMY"
"57615","savannahs","AAAHNNSSV"
"7904","Savannah","AAAHNNSV"
"57613","savannah","AAAHNNSV"
"6382","Natasha","AAAHNST"
"3814","Havanas","AAAHNSV"
"3813","Havana","AAAHNV"
